happiness_classification,norm_imports,norm_exports,fear,anger,surprise,sadness,disgust,joy,anticipation,year,country
not-happy,13.643920640752688,11.979343255538332,0.044009779951100246,0.029339853300733496,0.034229828850855744,0.03178484107579462,0.02689486552567237,0.05623471882640587,0.10024449877750612,2005,Mexico
not-happy,13.469563942374698,15.552569572409414,0.06060606060606061,0.0285204991087344,0.0338680926916221,0.035650623885918005,0.024955436720142603,0.0570409982174688,0.11229946524064172,2005,Japan
happy,6.874738700040496,7.213293860602913,0.07238095238095238,0.049523809523809526,0.04,0.0380952380952381,0.03428571428571429,0.09714285714285714,0.09142857142857143,2005,Belgium
not-happy,6.624081008161285,4.183923096633762,0.0598404255319149,0.043882978723404256,0.0199468085106383,0.041223404255319146,0.031914893617021274,0.07047872340425532,0.09308510638297872,2005,Pakistan
happy,12.099429302480088,11.116681317357202,0.0702247191011236,0.04353932584269663,0.03651685393258427,0.03651685393258427,0.028089887640449437,0.08146067415730338,0.10252808988764045,2005,France
happy,6.463485273230105,9.462452082238023,0.07003257328990228,0.04560260586319218,0.026058631921824105,0.035830618892508145,0.021172638436482084,0.06677524429967427,0.10586319218241043,2005,Brazil
happy,7.743851896795189,8.071707407104117,0.07614213197969544,0.038917089678511,0.028764805414551606,0.043993231810490696,0.04060913705583756,0.09137055837563451,0.1116751269035533,2005,Canada
happy,8.691386646767183,8.426336476068517,0.07086614173228346,0.05249343832020997,0.007874015748031496,0.03937007874015748,0.028871391076115485,0.05774278215223097,0.08398950131233596,2005,Italy
not-happy,0.6501549995533771,0.12684267659804294,0.10252100840336134,0.07058823529411765,0.02689075630252101,0.06722689075630252,0.047058823529411764,0.05042016806722689,0.07226890756302522,2005,Lebanon
happy,3.0664139839487397,2.4601455872728653,0.08320493066255778,0.06933744221879815,0.03697996918335902,0.046224961479198766,0.04160246533127889,0.05546995377503852,0.09553158705701079,2005,Australia
happy,7.616347893340503,5.059995197365559,0.06759443339960239,0.033797216699801194,0.017892644135188866,0.02982107355864811,0.02385685884691849,0.0775347912524851,0.09741550695825049,2005,Spain
not-happy,2.3923198091899542,1.639019706477148,0.06091370558375635,0.04568527918781726,0.025380710659898477,0.043993231810490696,0.02030456852791878,0.06429780033840947,0.08629441624365482,2005,Romania
not-happy,2.452077931226643,1.3186717549353233,0.04628330995792426,0.03225806451612903,0.029453015427769985,0.03506311360448808,0.02244039270687237,0.07994389901823282,0.11079943899018233,2005,Egypt
not-happy,0.9763685596175952,0.400044892080515,0.06833333333333333,0.055,0.018333333333333333,0.03666666666666667,0.023333333333333334,0.07333333333333333,0.08666666666666667,2005,Jordan
happy,2.4558239500318764,2.8810182453675135,0.09864603481624758,0.0735009671179884,0.019342359767891684,0.05029013539651837,0.04448742746615087,0.05415860735009671,0.07736943907156674,2005,Sweden
not-happy,5.381552445987779,4.736618236016375,0.06440677966101695,0.04067796610169491,0.0288135593220339,0.03220338983050847,0.025423728813559324,0.06610169491525424,0.1016949152542373,2005,Poland
not-happy,2.7201763273106723,2.572600729532528,0.0854368932038835,0.062135922330097085,0.02330097087378641,0.04854368932038835,0.04271844660194175,0.04854368932038835,0.0854368932038835,2005,Hungary
not-happy,1.6666664594840341,0.534611475127612,0.07857142857142857,0.05714285714285714,0.023809523809523808,0.04285714285714286,0.030952380952380953,0.04523809523809524,0.09523809523809523,2005,Greece
happy,1.4652260906873402,1.6504840018673586,0.07806691449814127,0.07063197026022305,0.013011152416356878,0.04275092936802974,0.03717472118959108,0.05204460966542751,0.08736059479553904,2005,Denmark
happy,17.678039357497425,22.232160706301876,0.061128526645768025,0.023510971786833857,0.023510971786833857,0.034482758620689655,0.02037617554858934,0.07053291536050156,0.11598746081504702,2005,Germany
happy,2.700984774811656,2.6920505566668442,0.07465618860510806,0.05893909626719057,0.0275049115913556,0.05108055009823183,0.029469548133595286,0.06679764243614932,0.0825147347740668,2006,Austria
not-happy,1.3359799046138126,0.8968643015173007,0.09529860228716645,0.0698856416772554,0.03176620076238882,0.052096569250317665,0.03303684879288437,0.08640406607369759,0.08640406607369759,2006,Sri Lanka
not-happy,9.857915040411278,8.988080085265551,0.05092592592592592,0.03935185185185185,0.03009259259259259,0.05555555555555555,0.027777777777777776,0.0787037037037037,0.09953703703703703,2006,Philippines
happy,0.7760993759960225,0.5514767095409137,0.10505319148936171,0.07313829787234043,0.031914893617021274,0.05452127659574468,0.03723404255319149,0.08377659574468085,0.09707446808510638,2006,Costa Rica
happy,1.237033669551837,1.2998048880791815,0.06652806652806653,0.04365904365904366,0.02702702702702703,0.060291060291060294,0.02494802494802495,0.0893970893970894,0.0997920997920998,2006,Ecuador
happy,51.44500560805908,35.11166408716058,0.0641025641025641,0.05128205128205128,0.029914529914529916,0.05982905982905983,0.04415954415954416,0.05128205128205128,0.06125356125356125,2006,India
happy,1.651592502152186,2.2508659453776185,0.08827404479578392,0.06587615283267458,0.019762845849802372,0.05533596837944664,0.0461133069828722,0.0764163372859025,0.0764163372859025,2006,Argentina
happy,1.0227018754271173,1.9430592412035823,0.06624605678233439,0.04100946372239748,0.050473186119873815,0.04416403785488959,0.00946372239747634,0.08832807570977919,0.11041009463722397,2006,Norway
not-happy,2.2148109094430377,0.7162840575232737,0.0521978021978022,0.019230769230769232,0.054945054945054944,0.013736263736263736,0.01098901098901099,0.10989010989010989,0.12362637362637363,2006,Madagascar
not-happy,8.850246215153042,14.608694337070242,0.09074410163339383,0.07078039927404718,0.018148820326678767,0.06170598911070781,0.030852994555353903,0.06715063520871144,0.08166969147005444,2006,Indonesia
not-happy,0.47953352742462274,0.16874361188171116,0.05859375,0.029296875,0.029296875,0.033203125,0.0234375,0.0859375,0.12109375,2006,Rwanda
happy,1.6905638577623172,1.4927738047109378,0.075,0.060714285714285714,0.03214285714285714,0.0625,0.055357142857142855,0.0625,0.08392857142857142,2006,Belarus
not-happy,2.1961857451438584,0.893152704926085,0.05353319057815846,0.03854389721627409,0.044967880085653104,0.03640256959314775,0.014989293361884369,0.09635974304068523,0.11991434689507495,2006,Ghana
happy,12.789727967186575,11.697260694954661,0.08115183246073299,0.07591623036649214,0.020942408376963352,0.03926701570680628,0.03926701570680628,0.09947643979057591,0.09947643979057591,2006,France
happy,1.2163649543783877,0.600380246546369,0.061855670103092786,0.054982817869415807,0.024054982817869417,0.024054982817869417,0.01718213058419244,0.061855670103092786,0.09621993127147767,2006,Dominican Republic
happy,0.39914368272694806,0.27859014644254537,0.08,0.04842105263157895,0.031578947368421054,0.04631578947368421,0.037894736842105266,0.08210526315789474,0.07789473684210527,2006,Uruguay
not-happy,1.220103806336116,1.4634037187658782,0.07473309608540925,0.0498220640569395,0.021352313167259787,0.06405693950177936,0.04804270462633452,0.0711743772241993,0.08896797153024912,2006,Zambia
happy,10.25181406526672,10.248422082940792,0.05067567567567568,0.03547297297297297,0.02027027027027027,0.02533783783783784,0.010135135135135136,0.07263513513513513,0.09966216216216216,2006,Thailand
not-happy,0.525736687502129,0.3671082216915894,0.06554621848739496,0.06722689075630252,0.023529411764705882,0.043697478991596636,0.03361344537815126,0.08235294117647059,0.08739495798319327,2006,Paraguay
not-happy,3.667650014901508,3.109311720425375,0.08047493403693931,0.05408970976253298,0.029023746701846966,0.05804749340369393,0.03430079155672823,0.06596306068601583,0.08575197889182058,2006,Ukraine
not-happy,0.8947585709891592,1.4448378350370723,0.04267161410018553,0.04452690166975881,0.04823747680890538,0.027829313543599257,0.022263450834879406,0.09461966604823747,0.11131725417439703,2006,Cameroon
happy,0.21931502490278332,0.622441385185768,0.08797127468581688,0.05026929982046679,0.017953321364452424,0.0466786355475763,0.02872531418312388,0.08797127468581688,0.10412926391382406,2006,Kuwait
not-happy,0.7977292441042613,0.205878196991137,0.08713692946058091,0.04564315352697095,0.03319502074688797,0.03872752420470263,0.024896265560165973,0.07330567081604426,0.08852005532503458,2006,Haiti
happy,1.7088145775574746,0.8623794767930576,0.05612244897959184,0.0391156462585034,0.013605442176870748,0.030612244897959183,0.01870748299319728,0.07142857142857142,0.10714285714285714,2006,Guatemala
happy,5.8528368255004155,4.104545970413024,0.07912457912457913,0.06734006734006734,0.030303030303030304,0.07575757575757576,0.05387205387205387,0.07407407407407407,0.07912457912457913,2006,South Africa
happy,0.22232566255219027,0.5119871182371895,0.07995365005793743,0.05793742757821553,0.028968713789107765,0.038238702201622246,0.03360370799536501,0.07068366164542295,0.08690614136732329,2006,Trinidad and Tobago
not-happy,2.045567128302054,0.9889066004235901,0.09957627118644068,0.029661016949152543,0.03177966101694915,0.057203389830508475,0.023305084745762712,0.059322033898305086,0.1461864406779661,2006,Kenya
not-happy,1.2879153178736908,1.5429477998142047,0.08796296296296297,0.0763888888888889,0.020833333333333332,0.06481481481481481,0.04398148148148148,0.07175925925925926,0.08564814814814815,2006,Cambodia
happy,1.5134983328771727,1.4720081782088306,0.11257309941520467,0.0891812865497076,0.024853801169590642,0.0804093567251462,0.029239766081871343,0.07309941520467836,0.10087719298245613,2006,Israel
happy,1.2093049443028028,0.4492179051952889,0.08924485125858124,0.06407322654462243,0.029748283752860413,0.05263157894736842,0.04576659038901602,0.08695652173913043,0.09839816933638444,2006,Honduras
happy,3.3749204859379116,3.844982925863726,0.07235621521335807,0.05009276437847866,0.04267161410018553,0.055658627087198514,0.029684601113172542,0.07606679035250463,0.07606679035250463,2006,Singapore
happy,1.0610786261719969,0.5131319911932375,0.05832549388523048,0.04609595484477893,0.03386641580432737,0.03574788334901223,0.02539981185324553,0.10159924741298212,0.10912511759172154,2006,El Salvador
happy,2.3818168844107803,2.2192510062842854,0.11023622047244094,0.09251968503937008,0.021653543307086614,0.05708661417322835,0.05511811023622047,0.07283464566929133,0.07480314960629922,2006,Colombia
not-happy,2.047534474977188,2.99098407195504,0.09033613445378151,0.06932773109243698,0.018907563025210083,0.037815126050420166,0.029411764705882353,0.05672268907563025,0.0861344537815126,2006,Peru
happy,0.6969120806881319,0.593242541679231,0.07312614259597806,0.043875685557586835,0.02010968921389397,0.029250457038391225,0.029250457038391225,0.07495429616087751,0.10968921389396709,2006,New Zealand
not-happy,0.44272749350718976,0.16600776678499274,0.05099150141643059,0.028328611898016998,0.0226628895184136,0.05099150141643059,0.014164305949008499,0.09915014164305949,0.12464589235127478,2006,Sierra Leone
